car_id;car_class_id;team_id;driver_id;name;rating_old
93;100;-46113;95457;Gregorio Caridi;2263
70;77;-49039;-49039;AMS League Team SOS;0
70;77;-49039;45315;Kevin Troczynski;1512
70;77;-49039;59300;Avery McDonald;1804
70;77;-49039;82716;Dalton Baldwin;1879
70;77;-51113;-51113;NBR Motorsports;0
70;77;-51113;145361;Justin Bland;1549
70;77;-51113;252824;Derek R Norton;2019
70;77;-51113;252932;Will Norton;1415
70;77;-51113;306782;Mitchell Riggs;1198
92;100;-55819;-55819;Torque Freak Racing Corkscrew;0
92;100;-55819;166246;Lars Moldenhauer;3782
92;100;-55819;19444;Philip Roberts;2328
92;100;-55819;30907;Zach A Hudson;2154
92;100;-55819;33534;Ben Cuypers;3202
92;100;-55819;77174;Kasper Valentin;2448
72;473;-57520;-57520;Simracersworld Yellow;0
72;473;-57520;149784;Gregory Vranckx;2980
72;473;-57520;219226;Ian A Roots;2248
93;100;-64613;-64613;E41 SRT GTs;0
93;100;-64613;154163;Alejandro Gómez Zazurca;3752
93;100;-64613;324795;Toni Vallejos Delgado;1674
92;100;-64766;-64766;JRD Racing;0
92;100;-64766;147624;Tom Pottage;2636
92;100;-64766;285765;Alexander Weitzel;3119
92;100;-64766;33911;Jaroslav Honzik;6224
72;473;-65199;-65199;PR TEAM;0
72;473;-65199;163754;André Horváth;2230
72;473;-65199;245222;Balazs Remenyi;2051
93;100;-65946;-65946;Cheroki Makinostra GTE;0
93;100;-65946;201356;Borja Fernandez Guimerans2;3760
93;100;-65946;244214;Borja Bueno;3038
93;100;-65946;75775;Jose Arbos;2412
93;100;-69451;-69451;RACE4CAT ATLAS;0
93;100;-69451;164696;Lluís-Pere de las Heras;2716
72;473;-70181;-70181;Team Motorcrap;0
72;473;-70181;261935;Derrick Moeller;2126
70;77;-71222;-71222;EPIC Simracing Red;0
70;77;-71222;191655;Rafael Sempruch;1821
70;77;-71222;248952;Robert Lukoschek;1957
102;100;-71869;-71869;Team-R Sim-Racing Yellow;0
102;100;-71869;195901;Bertrand Fourniret;3026
102;100;-71869;288988;Manach Stephane;2168
102;100;-71869;300442;Jerome DELCOURT;2853
102;100;-71869;317190;Christophe Dupret;3693
70;77;-72005;-72005;Rumblestrip - Momentary Pucker;0
70;77;-72005;130412;Vance Bao;3065
70;77;-72005;133366;Jeremy R. Smith;1423
70;77;-72005;34371;Darren Kuehn;1406
70;77;-72005;78669;John Dykstra;1251
72;473;-72433;-72433;VRacing Team GT3;0
72;473;-72433;233429;Jose Manuel Navarro;1875
72;473;-72433;242307;Miguel Vila;2419
72;473;-72433;250633;J Angel Dominguez;1574
92;100;-73032;-73032;RFT;0
92;100;-73032;252652;Georges MARTINEZ;1632
92;100;-73032;264228;Guillaume Lefrancois;2079
92;100;-73032;310831;Jean-Raphaël Morin;3828
72;473;-77345;-77345;Team Half Fast - Red;0
72;473;-77345;134752;Jordie McMahon;1596
72;473;-77345;199364;Andrew Horsley;2449
72;473;-77345;224662;Ryan M Clarke;2280
72;473;-77345;256273;Aric Wolf;1809
72;473;-77345;339040;Robbo Grande;2259
72;473;-82073;-82073;Kinetic Racing Betsy #66;0
72;473;-82073;106344;John M King;2968
72;473;-82073;108327;Ernie Ludwig;1500
72;473;-82073;182887;Scott Corbin;2143
72;473;-82073;224533;Eddie Hawks;1203
72;473;-82073;327074;Dustin Berentsen;1149
72;473;-82073;85106;Gustavo Cianfarani;2623
72;473;-82073;86233;David Vieira;1475
72;473;-83874;-83874;RGT Simteam;0
72;473;-83874;161618;Samuel Pellicer;2269
72;473;-83874;186304;David Sanchez Sanchez2;1680
72;473;-83874;203441;Maikel Rodriguez Fuentes;3798
72;473;-83874;204410;Jesus Perez Paredes;2123
72;473;-83874;204977;José Sánchez Cabrera;1851
